Bach_ette,Season,MeanAge,WinnerAge,Difference
Bachelor,1,26.4,23,3.4
Bachelor,2,26.6,27,-0.4
Bachelor,5,25.04,22,3.04
Bachelor,9,26.3,24,2.3
Bachelor,10,25.76,26,-0.24
Bachelor,11,27,25,2
Bachelor,12,26.32,22,4.32
Bachelor,13,26.92,25,1.92
Bachelor,14,26.2,23,3.2
Bachelor,15,26.86,25,1.86
Bachelor,16,27.56,28,-0.44
Bachelor,17,26.42,26,0.42
Bachelor,18,26.11,26,0.11
Bachelor,19,26.8,29,-2.2
Bachelor,20,25.14,25,0.14
Bachelor,21,25.96,31,-5.04
Bachelorette,1,29.72,29,0.72
Bachelorette,2,29.68,29,0.68
Bachelorette,4,29.36,26,3.36
Bachelorette,5,28.53,29,-0.47
Bachelorette,6,28.16,26,2.16
Bachelorette,7,29.08,34,-4.92
Bachelorette,8,29.8,27,2.8
Bachelorette,9,28.68,27,1.68
Bachelorette,10,29.52,29,0.52
Bachelorette,11,29.5,28,1.5
Bachelorette,12,28.31,27,1.31
